Status,VendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Unmatched,DOUDNEY SHEET METAL WORKS,,DOUDSM,,,,No Bill.com vendor with a matching name.
Matched,Dutton-Lainson Company,00901VUNSXWRLVE8vd19,DUTTON,,,,
Unmatched,DYNAMIC NDT,,DYNNDT,,,,No Bill.com vendor with a matching name.
Matched,Eagle National Supply,00901FGXARKCBCL8vgdl,Eagle,,,,
Unmatched,EAGLE QUALITY COMPONENTS,,EQC,,,,No Bill.com vendor with a matching name.
Unmatched,EARL K. WOOD ORANGE CTY TAX COLLECT,,TAXCOL,,,,No Bill.com vendor with a matching name.
Unmatched,EARL M JORGENSEN COMPANY,,emj,,,,No Bill.com vendor with a matching name.
Matched,Eastern Metal Supply,00901VYSSCSJLGA8vder,EMS,,,,
Matched,EasySoft Corporation,00901QEOINDJIJT8vge3,ESC,,,,
Unmatched,EBAY,,EBAY,,,,No Bill.com vendor with a matching name.
Unmatched,ELECTRIC AUTOMATION NETWORK,,ELEAUT,,,,No Bill.com vendor with a matching name.
Unmatched,ELECTRIC BARGAIN STORE,,EBS,,,,No Bill.com vendor with a matching name.
Matched,EMF Engineered Components,00901PJXUMJDQMD8vd56,EMF,,,,
Matched,Empire Abrasives,00901TDQYZKWDWT8vgfg,EmpAb,,,,
Matched,Empire Rigging,00901NPRMMNQQTI8vgfh,EmpRig,,,,
Matched,"Environmental Marketing Services, LLC",00901CHWUVQFCKY8vd7d,ENVMKT,,,,
Matched,Epicor,00901KPHYVFVJYT8vddn,EPCOR,,,,
Matched,E-Replacement Parts,00901IGJEWWFSJB8vgd4,erp,,,,
Unmatched,E-SECTOR MACHINING & FABRICATION,,E-SECT,,,,No Bill.com vendor with a matching name.
Unmatched,ETRAILER,,ETRAIL,,,,No Bill.com vendor with a matching name.
Matched,Evolution Power Tools Ltd.,00901LBYWYPWWKZ8vggi,EvoPT,,,,
Matched,"Excell Coatings, Inc.",00901OTCHUHLFBL8vd1n,ECI,,,,
Matched,Exostar LLC,00901LOELQBIRVD8vd8k,EXOS,,,,
Matched,Fastenal,00901ZCAXVOTPID8vddl,FASTEN,,,,
Unmatched,FED-SPECS,,FEDSPC,,,,No Bill.com vendor with a matching name.
Unmatched,FIXTURE WORKS,,FIXWRK,,,,No Bill.com vendor with a matching name.
Matched,Fixtureworks,00901RURMPXVHLP8vd21,FIXT,,,,
Matched,Flexible Lifeline Systems,00901HXMCDOFPKE8vd22,FLS,,,,
Matched,Florida Department of Revenue,00901DCJAZNKIUR8vdbz,FDR,,,,
Matched,Florida Department of State,00901HNZZLNYFPZ8vd1t,FDS,,,,
Matched,Florida Lift Gas,00901HWIFFAEHNS8vdfa,flg,,,,
Matched,Florida Metal Craft,00901BJXZGFANVZ8vd1w,FLMETC,,,,
Unmatched,FLORIDA METALLIZING SERVICE INC,,FMSI,,,,No Bill.com vendor with a matching name.
Matched,Freight Quote.com,00901TTZVGTQHTB8vd1u,FQ,,,,
Unmatched,GALESBURG ELECTRICAL,,GALESB,,,,No Bill.com vendor with a matching name.
Matched,Globalindustrial.com,00901QWHTLIYUUQ8vgi5,GLOBAL,,,,
Matched,GMA Americas,00901LPMOZPWHEA8vd20,GMA,,,,
Unmatched,GMA GARNET,,GMAG,,,,No Bill.com vendor with a matching name.
Matched,Gordon Electric Supply,00901KSLETCELBJ8vd1y,Gordon,,,,
Unmatched,GOVETS.COM,,GoVets,,,,No Bill.com vendor with a matching name.
Matched,"Grainger, Inc.",00901ITESRUSGUD8vddp,GI,,,,
Matched,"Grizzly Industrial, Inc.",00901EHUUQYGXPA8vdbr,GRIZIN,,,,
Matched,Guden,00901MWZBIPYTTH8vd4r,Guden,,,,
Unmatched,HAISSTRONICA,,HAISST,,,,No Bill.com vendor with a matching name.
Unmatched,HANES SUPPLY INC,,HSI,,,,No Bill.com vendor with a matching name.
Matched,Harbor Freight,00901GKYQMXZVHM8vd2d,HF,,,,
Unmatched,"HARCOURT INDUSTRIAL, INC",,HI,,,,No Bill.com vendor with a matching name.
Matched,Herc Rentals,00901CXBDXCSFWW8vd87,Herc,,,,
Matched,"Hexagon Manufacturing Intelligence, Inc.",00901KBQYQIGUAA8vdcw,HEXAGO,,,,
Matched,Hirebotics,00901YUDVROMTQB8vdf4,HIRBOT,,,,
Matched,Hobby Lobby,00901DGFDUPFCAZ8vgej,HL,,,,
Matched,Home Depot,00901FPPNORCSCQ8vd26,HDEP,,,,
Matched,Hugg & Hall Equipment,00901EIUWSGOCNC8vd8y,H&H,,,,
Matched,Hydracheck,00901AZCHESIQWB8vgfs,HYDCHE,,,,
Matched,Hydradyne,00901LOFIITYGZH8vgft,Hydrad,,,,
Matched,Hydrasearch,00901VAHVTBQMUX8vd28,Hydra,,,,
Matched,Igus Inc.,00901CQERWSSSNN8vd8w,IGUS,,,,
Unmatched,INCERTEC (SYNERGY METAL FINISHING),,SMF,,,,No Bill.com vendor with a matching name.
Matched,Industrial Depot,00901ZWLPYDUCHU8vggv,ID,,,,
Matched,Inspection Xpert,00901SBZVFXMVPJ8vd5x,INSPEX,,,,
Matched,Insurance Office of America,00901MJWCNQZQDZ8vdbh,IOA,,,,
Matched,Internal Revenue Service,00901JWJBGCFVBK8vd2i,IRS,,,,
Unmatched,"ISO GROUP, INC.",,ISOGRP,,,,No Bill.com vendor with a matching name.
Matched,J. Herbert Corporation,00901ZLKAAEHRTS8vd93,JHerb,,,,
Matched,James Little,00901ISCNRRKEPB8vd77,JLITT,,,,
Unmatched,JA-SUPPLY.COM,,JA,,,,No Bill.com vendor with a matching name.
Unmatched,JERGENS MANUFACTURING EFFICIENCY,,JERGMF,,,,No Bill.com vendor with a matching name.
Unmatched,JOANN FABRICS,,JF,,,,No Bill.com vendor with a matching name.
Matched,Johnson Supply Company,00901GSEISIMGUJ8vgiy,JSC,,,,
Matched,Joyce/Dayton Corp.,00901HFTNLSRWFV8vdck,JDC,,,,
Unmatched,K&T MANUFACTURING & WELDING,,K&TM,,,,No Bill.com vendor with a matching name.
Unmatched,KAB TECH CORP,,KABTEC,,,,No Bill.com vendor with a matching name.
Matched,"Katy Equipment,Inc",00901GJYBGOBGCZ8vd7e,Katy,,,,
Matched,KCE Force Lift Service,00901YXFRYLJCXS8vddz,KCE,,,,
Unmatched,KEEP SUPPLY,,KEEPSU,,,,No Bill.com vendor with a matching name.
Matched,Kinematics,00901ABAOZGYFXQ8vgdi,KINEMA,,,,
Matched,King of Freight,00901SHLEXFQOHO8vdcf,KofF,,,,
Matched,Knight Global,00901BZPWJFLSJT8vgdw,Knight,,,,
