Status,VendorName,BillVendorId,M2MVendorID,CurrentAccountNumber,Applied,Error,Note
Unmatched,CRATERS & FREIGHTERS OF ORLANDO,,CF,,,,No Bill.com vendor with a matching name.
Matched,Criterion Calibration Services,00901RWKSFHPVLQ8vdd3,CRITER,,,,
AlreadySet,Crystal Springs,00901HNFDTTJPAN8vdag,CRYSPR,893328720714140,,,Existing accountNumber '893328720714140' kept (would have set 'CRYSPR').
Matched,CSG Parts,00901KVHBAVBHOZ8vd1a,CSG,,,,
Unmatched,CYBERWELD.COM,,CYBW,,,,No Bill.com vendor with a matching name.
Unmatched,DAKE CORPORTATION,,Dake,,,,No Bill.com vendor with a matching name.
Unmatched,DIRECT METALS,,DM,,,,No Bill.com vendor with a matching name.
Matched,DJ Fabrication & Welding,00901ZADUEPVYFP8vd1d,DJ,,,,
Unmatched,DKHARDWARE,,DKH,,,,No Bill.com vendor with a matching name.
Unmatched,DOUDNEY SHEET METAL WORKS,,DOUDSM,,,,No Bill.com vendor with a matching name.
Matched,Dutton-Lainson Company,00901VUNSXWRLVE8vd19,DUTTON,,,,
Unmatched,DYNAMIC NDT,,DYNNDT,,,,No Bill.com vendor with a matching name.
Unmatched,EAGLE NATIONAL SUPPLY,,Eagle,,,,No Bill.com vendor with a matching name.
Unmatched,EAGLE QUALITY COMPONENTS,,EQC,,,,No Bill.com vendor with a matching name.
Unmatched,EARL K. WOOD ORANGE CTY TAX COLLECT,,TAXCOL,,,,No Bill.com vendor with a matching name.
Unmatched,EARL M JORGENSEN COMPANY,,emj,,,,No Bill.com vendor with a matching name.
AlreadySet,Eastern Metal Supply,00901VYSSCSJLGA8vder,EMS,060929,,,Existing accountNumber '060929' kept (would have set 'EMS').
Unmatched,EASYSOFT CORPORATION,,ESC,,,,No Bill.com vendor with a matching name.
Unmatched,EBAY,,EBAY,,,,No Bill.com vendor with a matching name.
Unmatched,ELECTRIC AUTOMATION NETWORK,,ELEAUT,,,,No Bill.com vendor with a matching name.
Unmatched,ELECTRIC BARGAIN STORE,,EBS,,,,No Bill.com vendor with a matching name.
Matched,EMF Engineered Components,00901PJXUMJDQMD8vd56,EMF,,,,
Unmatched,EMPIRE ABRASIVES,,EmpAb,,,,No Bill.com vendor with a matching name.
Unmatched,EMPIRE RIGGING,,EmpRig,,,,No Bill.com vendor with a matching name.
Matched,"Environmental Marketing Services, LLC",00901CHWUVQFCKY8vd7d,ENVMKT,,,,
AlreadySet,Epicor,00901KPHYVFVJYT8vddn,EPCOR,100-012277151,,,Existing accountNumber '100-012277151' kept (would have set 'EPCOR').
Unmatched,E-REPLACEMENT PARTS,,erp,,,,No Bill.com vendor with a matching name.
Unmatched,E-SECTOR MACHINING & FABRICATION,,E-SECT,,,,No Bill.com vendor with a matching name.
Unmatched,ETRAILER,,ETRAIL,,,,No Bill.com vendor with a matching name.
Unmatched,EVOLUTION POWER TOOLS,,EvoPT,,,,No Bill.com vendor with a matching name.
Matched,"Excell Coatings, Inc.",00901OTCHUHLFBL8vd1n,ECI,,,,
Matched,Exostar LLC,00901LOELQBIRVD8vd8k,EXOS,,,,
AlreadySet,Fastenal,00901ZCAXVOTPID8vddl,FASTEN,FLOR1100197,,,Existing accountNumber 'FLOR1100197' kept (would have set 'FASTEN').
Unmatched,FED-SPECS,,FEDSPC,,,,No Bill.com vendor with a matching name.
Unmatched,FIXTURE WORKS,,FIXWRK,,,,No Bill.com vendor with a matching name.
Matched,Fixtureworks,00901RURMPXVHLP8vd21,FIXT,,,,
Matched,Flexible Lifeline Systems,00901HXMCDOFPKE8vd22,FLS,,,,
Matched,Florida Department of Revenue,00901DCJAZNKIUR8vdbz,FDR,,,,
AlreadySet,Florida Department of State,00901HNZZLNYFPZ8vd1t,FDS,P04000030090,,,Existing accountNumber 'P04000030090' kept (would have set 'FDS').
AlreadySet,Florida Lift Gas,00901HWIFFAEHNS8vdfa,flg,350293,,,Existing accountNumber '350293' kept (would have set 'flg').
Matched,Florida Metal Craft,00901BJXZGFANVZ8vd1w,FLMETC,,,,
Unmatched,FLORIDA METALLIZING SERVICE INC,,FMSI,,,,No Bill.com vendor with a matching name.
Matched,Freight Quote.com,00901TTZVGTQHTB8vd1u,FQ,,,,
Unmatched,GALESBURG ELECTRICAL,,GALESB,,,,No Bill.com vendor with a matching name.
Unmatched,GLOBALINDUSTRIAL.COM,,GLOBAL,,,,No Bill.com vendor with a matching name.
Matched,GMA Americas,00901LPMOZPWHEA8vd20,GMA,,,,
Unmatched,GMA GARNET,,GMAG,,,,No Bill.com vendor with a matching name.
Matched,Gordon Electric Supply,00901KSLETCELBJ8vd1y,Gordon,,,,
Unmatched,GOVETS.COM,,GoVets,,,,No Bill.com vendor with a matching name.
AlreadySet,"Grainger, Inc.",00901ITESRUSGUD8vddp,GI,876042623,,,Existing accountNumber '876042623' kept (would have set 'GI').
Matched,"Grizzly Industrial, Inc.",00901EHUUQYGXPA8vdbr,GRIZIN,,,,
Matched,Guden,00901MWZBIPYTTH8vd4r,Guden,,,,
Unmatched,HAISSTRONICA,,HAISST,,,,No Bill.com vendor with a matching name.
Unmatched,HANES SUPPLY INC,,HSI,,,,No Bill.com vendor with a matching name.
Matched,Harbor Freight,00901GKYQMXZVHM8vd2d,HF,,,,
Unmatched,"HARCOURT INDUSTRIAL, INC",,HI,,,,No Bill.com vendor with a matching name.
Matched,Herc Rentals,00901CXBDXCSFWW8vd87,Herc,,,,
Matched,"Hexagon Manufacturing Intelligence, Inc.",00901KBQYQIGUAA8vdcw,HEXAGO,,,,
Matched,Hirebotics,00901YUDVROMTQB8vdf4,HIRBOT,,,,
Unmatched,HOBBY LOBBY,,HL,,,,No Bill.com vendor with a matching name.
Matched,Home Depot,00901FPPNORCSCQ8vd26,HDEP,,,,
Matched,Hugg & Hall Equipment,00901EIUWSGOCNC8vd8y,H&H,,,,
Unmatched,HYDRACHECK INC,,HYDCHE,,,,No Bill.com vendor with a matching name.
Unmatched,HYDRADYNE,,Hydrad,,,,No Bill.com vendor with a matching name.
Matched,Hydrasearch,00901VAHVTBQMUX8vd28,Hydra,,,,
Matched,Igus Inc.,00901CQERWSSSNN8vd8w,IGUS,,,,
Unmatched,INCERTEC (SYNERGY METAL FINISHING),,SMF,,,,No Bill.com vendor with a matching name.
Unmatched,INDUSTRIAL DEPOT,,ID,,,,No Bill.com vendor with a matching name.
AlreadySet,Inspection Xpert,00901SBZVFXMVPJ8vd5x,INSPEX,050512,,,Existing accountNumber '050512' kept (would have set 'INSPEX').
Matched,Insurance Office of America,00901MJWCNQZQDZ8vdbh,IOA,,,,
Matched,Internal Revenue Service,00901JWJBGCFVBK8vd2i,IRS,,,,
Unmatched,"ISO GROUP, INC.",,ISOGRP,,,,No Bill.com vendor with a matching name.
Matched,J. Herbert Corporation,00901ZLKAAEHRTS8vd93,JHerb,,,,
Matched,James Little,00901ISCNRRKEPB8vd77,JLITT,,,,
Unmatched,JA-SUPPLY.COM,,JA,,,,No Bill.com vendor with a matching name.
Unmatched,JERGENS MANUFACTURING EFFICIENCY,,JERGMF,,,,No Bill.com vendor with a matching name.
Unmatched,JOANN FABRICS,,JF,,,,No Bill.com vendor with a matching name.
Unmatched,JOHNSON SUPPLY COMPANY,,JSC,,,,No Bill.com vendor with a matching name.
Matched,Joyce/Dayton Corp.,00901HFTNLSRWFV8vdck,JDC,,,,
Unmatched,K&T MANUFACTURING & WELDING,,K&TM,,,,No Bill.com vendor with a matching name.
Unmatched,KAB TECH CORP,,KABTEC,,,,No Bill.com vendor with a matching name.
Matched,"Katy Equipment,Inc",00901GJYBGOBGCZ8vd7e,Katy,,,,
Matched,KCE Force Lift Service,00901YXFRYLJCXS8vddz,KCE,,,,
Unmatched,KEEP SUPPLY,,KEEPSU,,,,No Bill.com vendor with a matching name.
Unmatched,KINEMATICS,,KINEMA,,,,No Bill.com vendor with a matching name.
Matched,King of Freight,00901SHLEXFQOHO8vdcf,KofF,,,,
Unmatched,KNIGHT GLOBAL,,Knight,,,,No Bill.com vendor with a matching name.
Unmatched,L&S TRUCKING,,L&S,,,,No Bill.com vendor with a matching name.
Matched,Larson Electronics*,00901HOCMOEQLKM8vdes,LELLC,,,,
Matched,Lavi Industries,00901DIQKZXBQCJ8vd82,Lavi,,,,
Matched,Lowe's,00901YCHDMZNDEW8vd2n,LOWES,,,,
Unmatched,LYNCH FLUID CONTROLS,,LYNCHF,,,,No Bill.com vendor with a matching name.
Matched,Lynn Welding,00901CWDLWRSOQY8vd2o,Lynn,,,,
Matched,Mag Welding,00901TMNUPACKTB8vd2p,MAGWLD,,,,
Unmatched,MANTEC SERVICES INC.,,MANTEC,,,,No Bill.com vendor with a matching name.
Matched,Mark Gerard Machine,00901VZGWESHLSV8vd2x,MarkG,,,,
Unmatched,MARSHALL E. CAMPBELL COMPANY,,MEC,,,,No Bill.com vendor with a matching name.
Unmatched,MASTER ELECTRONICS,,MASELE,,,,No Bill.com vendor with a matching name.
AlreadySet,Matheson Tri-Gas Inc.,00901JFJJREZKAZ8vdcv,MTGI,Z1416,,,Existing accountNumber 'Z1416' kept (would have set 'MTGI').
Unmatched,MAVERICK ABRASIVES,,MA,,,,No Bill.com vendor with a matching name.
AlreadySet,Mazak Corporation,00901YAXVIECYZO8vdd5,Mazak,SIV0342932,,,Existing accountNumber 'SIV0342932' kept (would have set 'Mazak').
Matched,MB Machine,00901UTVJCMZQCP8vd2z,MBMach,,,,
AlreadySet,McMaster-Carr,00901RYAKVNXFSN8vde7,MC,35670299,,,Existing accountNumber '35670299' kept (would have set 'MC').
Unmatched,MERIT FASTENERS,,MERIT,,,,No Bill.com vendor with a matching name.
Unmatched,MES PAINT & DETAIL,,MES,,,,No Bill.com vendor with a matching name.
Unmatched,METALS DEPOT INTERNATIONAL,,MDI,,,,No Bill.com vendor with a matching name.
Matched,Metnology,00901ASNGMVDNEV8vdf3,metno,,,,
Matched,MF Supply,00901FIDBLMYZRE8vd00,MF,,,,
Unmatched,MFG.COM,,MFG,,,,No Bill.com vendor with a matching name.
Matched,Military-Fasteners,00901XKENKZZSMK8vd05,MILFAS,,,,
AlreadySet,Miller/Motion,00901SVVYYPGXOX8vd2w,MOTION,108460-01,,,Existing accountNumber '108460-01' kept (would have set 'MOTION').
Unmatched,MITSUBISHI ELECTRIC,,MTSE,,,,No Bill.com vendor with a matching name.
Unmatched,MOCAYO PRECISION,,mocayo,,,,No Bill.com vendor with a matching name.
Unmatched,MONROE AEROSPACE,,monroe,,,,No Bill.com vendor with a matching name.
AlreadySet,MSC/J&L Industrial,00901OYWQSGVNSM8vd5b,MSC,3717673,,,Existing accountNumber '3717673' kept (would have set 'MSC').
AlreadySet,N.T. Ruddock Company,00901OQICOXHZNM8vd2u,NTRUD,0414312-IN,,,Existing accountNumber '0414312-IN' kept (would have set 'NTRUD').
Matched,NJC Machine Co.,00901NRTYPBPNDU8vd32,NJC,,,,
Matched,Northern Tool,00901ZXMIKGXBSC8vd33,NTOOL,,,,
Matched,"Northwest Rubber Extruders, Inc.",00901GIVWXVOXNT8vd61,NWRE,,,,
Unmatched,NOVA METAL PRODUCTS,,NovaM,,,,No Bill.com vendor with a matching name.
Unmatched,NTS ORLANDO,,NTS,,,,No Bill.com vendor with a matching name.
Matched,Office Depot,00901RXXOUGFVEX8vd35,ODEPO,,,,
Unmatched,ONLINEMETALS.COM,,OM,,,,No Bill.com vendor with a matching name.
Ambiguous,OPTISOLUTIONS LLC,,OS,,,,2 Bill.com vendors share this name; City/Zip did not resolve a single match.
AlreadySet,Orange County Comptroller,00901ORCTFLXIXI8vd5d,OCC,FA19751-90104,,,Existing accountNumber 'FA19751-90104' kept (would have set 'OCC').
Unmatched,ORANGE COUNTY CONVENTION CENTER,,OCCC,,,,No Bill.com vendor with a matching name.
Matched,Orange County Tax Collector,00901BKJFACQDCQ8vd36,OCTC,,,,
AlreadySet,Orange County Utilities,00901DTJAWPEUYS8vd8q,OCU,9056629762,,,Existing accountNumber '9056629762' kept (would have set 'OCU').
Unmatched,O'REILLY AUTO PARTS,,OREILL,,,,No Bill.com vendor with a matching name.
Unmatched,OSHCUT,,OSHCUT,,,,No Bill.com vendor with a matching name.
Unmatched,"OUTDOOR LIVING PRODUCTS, INC",,OUTLIV,,,,No Bill.com vendor with a matching name.
