Status,MatchType,VendorName,M2MVendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Matched,Exact,Direct Metals,DIRECT METALS,00901ZYMYRXADVI8vgdv,DM,,false,Bill.com update vendor 00901ZYMYRXADVI8vgdv failed (400 BadRequest): : address.zipOrPostalCode: must not be blank; : address.city: must not be blank,
Matched,Exact,DJ Fabrication & Welding,"DJ FABRICATION & WELDING, LLC",00901ZADUEPVYFP8vd1d,DJ,,true,,
Matched,Exact,Dutton-Lainson Company,DUTTON-LAINSON COMPANY,00901VUNSXWRLVE8vd19,DUTTON,,true,,
Matched,Exact,Eagle National Supply,EAGLE NATIONAL SUPPLY,00901FGXARKCBCL8vgdl,Eagle,,false,Bill.com update vendor 00901FGXARKCBCL8vgdl failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Eastern Metal Supply,EASTERN METAL SUPPLY,00901VYSSCSJLGA8vder,EMS,,true,,
Matched,Exact,EasySoft Corporation,EASYSOFT CORPORATION,00901QEOINDJIJT8vge3,ESC,,true,,
Matched,Exact,EMF Engineered Components,"EMF ENGINEERED COMPONENTS, LLC",00901PJXUMJDQMD8vd56,EMF,,true,,
Matched,Exact,Empire Abrasives,EMPIRE ABRASIVES,00901TDQYZKWDWT8vgfg,EmpAb,,true,,
Matched,Exact,Empire Rigging,EMPIRE RIGGING,00901NPRMMNQQTI8vgfh,EmpRig,,false,Bill.com update vendor 00901NPRMMNQQTI8vgfh failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,"Environmental Marketing Services, LLC",ENVIRONMENTAL MARKETING SERVICES,00901CHWUVQFCKY8vd7d,ENVMKT,,true,,
Matched,Exact,Epicor,EPICOR,00901KPHYVFVJYT8vddn,EPCOR,,true,,
Matched,Exact,E-Replacement Parts,E-REPLACEMENT PARTS,00901IGJEWWFSJB8vgd4,erp,,false,Bill.com update vendor 00901IGJEWWFSJB8vgd4 failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Evolution Power Tools Ltd.,EVOLUTION POWER TOOLS,00901LBYWYPWWKZ8vggi,EvoPT,,true,,
Matched,Exact,"Excell Coatings, Inc.","EXCELL COATINGS, INC.",00901OTCHUHLFBL8vd1n,ECI,,true,,
Matched,Exact,Exostar LLC,EXOSTAR LLC,00901LOELQBIRVD8vd8k,EXOS,,true,,
Matched,Exact,Fastenal,FASTENAL,00901ZCAXVOTPID8vddl,FASTEN,,true,,
Matched,Exact,Fixtureworks,FIXTUREWORKS,00901RURMPXVHLP8vd21,FIXT,,true,,
Matched,Exact,Flexible Lifeline Systems,"FLEXIBLE LIFELINE SYSTEMS, INC.",00901HXMCDOFPKE8vd22,FLS,,true,,
