Status,MatchType,VendorName,M2MVendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Matched,Exact,360 Training,360 TRAINING,00901SGZLFZBAYQ8vgj9,360,,false,Bill.com address incomplete (missing city/zip) and the M2M Excel row has no city/zip to fill it; skipped.,
AlreadySet,Exact,3Chem Corporation,3CHEM,00901GNZBBRSSGU8vgja,3CHEM,3CHEM,,,Existing companyName '3CHEM' kept (would have set '3CHEM').
AlreadySet,Exact,"Abstract Computer Solutions, LLC","ABSTRACT COMPUTER SOLUTIONS, LLC",00901KYAOVNODPN8vd0k,ACSLLC,ACSLLC,,,Existing companyName 'ACSLLC' kept (would have set 'ACSLLC').
Matched,Exact,Ace Hardware,ACE HARDWARE,00901ATYGGVDXAD8vgjp,ACEHA,,false,Bill.com address incomplete (missing city/zip) and the M2M Excel row has no city/zip to fill it; skipped.,
AlreadySet,Exact,Aces Systems Division,ACES SYSTEMS DIVISION,00901VFTGATHNPU8vgjq,ACES,ACES,,,Existing companyName 'ACES' kept (would have set 'ACES').
AlreadySet,Exact,"Acroturn Industries USA, LLC","ACROTURN INDUSTRIES USA, INC",00901CXNUZQMORO8vda1,AIU,AIU,,,Existing companyName 'AIU' kept (would have set 'AIU').
AlreadySet,Exact,Adrian L. Little,ADRIAN L. LITTLE,00901KZEBCIWRVG8vd0m,ALITT,ALITT,,,Existing companyName 'ALITT' kept (would have set 'ALITT').
AlreadySet,Exact,Adtec II Tampa,"ADTEC II TAMPA, LLC",00901RZUKRAGBGK8vd0n,ADTEC,ADTEC,,,Existing companyName 'ADTEC' kept (would have set 'ADTEC').
Matched,Exact,Advance Auto Parts,ADVANCE AUTO PARTS,00901AQKFKTSKZS8vd7q,AAP,,false,Bill.com address incomplete (missing city/zip) and the M2M Excel row has no city/zip to fill it; skipped.,
AlreadySet,Exact,Advanced Powder Coating LLC,ADVANCED POWDER COATING LLC,00901NOSIIFWODX8vd83,AdvPC,AdvPC,,,Existing companyName 'AdvPC' kept (would have set 'AdvPC').
AlreadySet,Exact,Alro Plastics,ALRO PLASTICS,00901OHSWHPUZSP8vdbs,ALROP,ALROP,,,Existing companyName 'ALROP' kept (would have set 'ALROP').
AlreadySet,Exact,Amazon,AMAZON,00901PYBZGFQVCF8vd0t,AMAZ,AMAZ,,,Existing companyName 'AMAZ' kept (would have set 'AMAZ').
AlreadySet,Exact,Amazon Hose and Rubber Company,AMAZON HOSE AND RUBBER COMPANY,00901JXIYFQNPXX8vd0u,AHRC,AHRC,,,Existing companyName 'AHRC' kept (would have set 'AHRC').
AlreadySet,Exact,American Machinery Group,"AMERICAN MACHINERY GROUP, LLC.",00901MEXYTQQZVM8vd53,AWP,AWP,,,Existing companyName 'AWP' kept (would have set 'AWP').
AlreadySet,Exact,"American Metals Supply, Inc.",AMERICAN METALS SUPPLY INC.,00901NLQTYKQEZE8vddm,AMI,AMI,,,Existing companyName 'AMI' kept (would have set 'AMI').
AlreadySet,Exact,AMT CNC Fabrication,AMT CNC FABRICATION,00901OQEZUBAIMR8vd0q,AMTFAB,AMTFAB,,,Existing companyName 'AMTFAB' kept (would have set 'AMTFAB').
AlreadySet,Exact,Applied Technical Services,APPLIED TECHNICAL SERVICES,00901QKBSCUDLUX8vd9o,ATS,ATS,,,Existing companyName 'ATS' kept (would have set 'ATS').
AlreadySet,Exact,APV Manufacturing & Engineering,APV MANUFACTURING & ENGINEERING,00901FJBPWXHLZI8vd0s,APV,APV,,,Existing companyName 'APV' kept (would have set 'APV').
AlreadySet,Exact,ASAP Semiconductors,ASAP SEMICONDUCTORS,00901VWMKHGRWBG8vdbp,ASAP,ASAP,,,Existing companyName 'ASAP' kept (would have set 'ASAP').
Matched,Exact,AutoZone,AUTOZONE,00901IJELZFFFNT8vglr,AZONE,,false,Bill.com address incomplete (missing city/zip) and the M2M Excel row has no city/zip to fill it; skipped.,
AlreadySet,Exact,Bad Boy Blasters,"BAD BOY BLASTERS, INC",00901HWFHZILULG8vglx,BadBoy,BadBoy,,,Existing companyName 'BadBoy' kept (would have set 'BadBoy').
AlreadySet,Exact,Badger Welding,BADGER WELDING,00901NGPKJIAYVD8vdet,BADGER,BADGER,,,Existing companyName 'BADGER' kept (would have set 'BADGER').
AlreadySet,Exact,Barton International,BARTON INTERNATIONAL,00901HGXVULKMMU8vdb8,Barton,Barton,,,Existing companyName 'Barton' kept (would have set 'Barton').
Matched,Exact,Blade Serpent,BLADE SERPENT,00901VVDLDFEQTL8vd12,BLADES,,true,,
Matched,Exact,Boeing Distribution,BOEING DISTRIBUTION,00901BLGCZPMPOG8vgll,Boeing,,false,Bill.com address incomplete (missing city/zip) and the M2M Excel row has no city/zip to fill it; skipped.,
Matched,Exact,Boltdepot.com,BOLTDEPOT.COM,00901CLCCRMKKYW8vglm,BLTDPT,,false,Bill.com address incomplete (missing city/zip) and the M2M Excel row has no city/zip to fill it; skipped.,
AlreadySet,Exact,Boss Laser LLC,BOSS LASER LLC,00901LANFIIQOEY8vd76,boss,boss,,,Existing companyName 'boss' kept (would have set 'boss').
AlreadySet,Exact,Braddock Metallurgical Inc,BRADDOCK METALLURGICAL,00901ELBFEMCWQD8vd0y,BRADDO,BRADDO,,,Existing companyName 'BRADDO' kept (would have set 'BRADDO').
